CA1	C1	1-11
CA2	C2	12-18
CA3	C3	19-23
CA4	C4	24-31
CA5	C5	32-34
CA6	C6	35-36
CA7	C7	37-39
CA8	C8	40-45
CA9	C9	46-47
CA10	C10	48-57
CA11	C11	58-64
CA12	C12	65-70
CA13	C13	71-73
CA14	C14	74-76
CA15	C15	77-78
CA16	C16	79-81
CA17	C17	82-87
CA18	C18	88-94
CA19	C19	95-100
CA20	C20	101-105
CA21	C21	106-111
CA22	C20	112-115
CA23	C22	116-121
CA24	C23	122-124
CA25	C24	125-131
CA26	C25	132-134
CA27	C26	135-137
CA28	C27	138-139
CA29	C28	140-142
CA30	C29	143-152
CA31	C30	153-156
CA32	C31	157-159
CA33	C32	160-166
CA34	C33	167-173
CA35	C34	174-176
CA36	C35	177-178
CA37	C36	179-181
CA38	C37	182-186
CA39	C38	187-188
CA40	C37	189-190
CA41	C39	191-194
CA42	C40	195-197
CA43	C39	198-200
CA44	C41	201-203
CA45	C42	204-209
CA46	C43	210-213
CA47	C42	214-215
CA48	C44	216-217
CA49	C45	218-220
CA50	C44	221-222
CA51	C46	223-225
CA52	C47	226-227
CA53	C48	228-230
CA54	C49	231-233
CA55	C50	234-235
CA56	C51	236-238
CA57	C52	239-244
CA58	C53	245-253
CA59	C54	254-265
CA60	C55	266-273
CA61	C56	274-278
CA62	C57	279-281
CA63	C58	282-290
CA64	C59	291-299
CA65	C60	300-309
CA66	C61	310-313
CA67	C62	314-321
CA68	C63	322-326
CA69	C64	327-336
CA70	C65	337-346
CA71	C66	347-349
CA72	C67	350-351
CA73	C68	352-354
CA74	C69	355-357
CA75	C70	358-359
CA76	C71	360-362
CA77	C72	363-368
CA78	C73	369-379
CA79	C74	380-391
CA80	C75	392-393
CA81	C76	394-395
CA82	C77	396-399
CA83	C74	400-401
CA84	C78	402-408
CA85	C79	409-411
CA86	C80	412-413
CA87	C81	414-417
CA88	C82	418-419
CA89	C83	420
CA90	C84	421-422
CA91	C85	423-430
CA92	C86	431-437
CA93	C87	438-440
CA94	C88	441-443
CA95	C89	444-445
CA96	C90	446-448
CA97	C91	449-455
CA98	C92	456-463
CA99	C93	464-466
CA100	C94	467-475
CA101	C95	476-481
CA102	C96	482-489
CA103	C97	490-492
CA104	C98	493-494
CA105	C99	495-497
CA106	C100	498-503
CA107	C101	504-528
CA108	C102	529-533
CA109	C103	534-541
CA110	C104	542-546
CA111	C105	547-551
CA112	C106	552-555
CA113	C107	556-559
